Type,SpecifiedButton,Pressed,TimePressed
Key,BTN_SOUTH,1,10:20:27.650810
Key,BTN_SOUTH,0,10:20:27.765437
Key,BTN_SOUTH,1,10:20:27.897087
Key,BTN_SOUTH,0,10:20:28.025423
Key,BTN_SOUTH,1,10:20:28.154553
Key,BTN_SOUTH,0,10:20:28.285459
Key,BTN_SOUTH,1,10:20:28.417426
Key,BTN_SOUTH,0,10:20:28.558332
Key,BTN_SOUTH,1,10:20:28.716857
Key,BTN_SOUTH,0,10:20:28.857441
Key,BTN_SOUTH,1,10:20:29.010439
Key,BTN_SOUTH,0,10:20:29.145452
Key,BTN_SOUTH,1,10:20:29.290516
Key,BTN_SOUTH,0,10:20:29.437442
Key,BTN_SOUTH,1,10:20:29.569253
Key,BTN_SOUTH,0,10:20:29.678308
Key,BTN_SOUTH,1,10:20:29.893238
Key,BTN_SOUTH,0,10:20:30.053470
Key,BTN_SOUTH,1,10:20:30.217229
Key,BTN_SOUTH,0,10:20:30.345484
Key,BTN_SOUTH,1,10:20:30.514361
Key,BTN_SOUTH,0,10:20:30.665456
Key,BTN_SOUTH,1,10:20:30.825303
Key,BTN_SOUTH,0,10:20:30.973454
Key,BTN_SOUTH,1,10:20:31.098285
Key,BTN_SOUTH,0,10:20:31.233446
Key,BTN_SOUTH,1,10:20:31.570514
Key,BTN_SOUTH,0,10:20:31.717456
Key,BTN_SOUTH,1,10:20:31.859525
Key,BTN_SOUTH,0,10:20:32.013457
Key,BTN_SOUTH,1,10:20:32.134586
Key,BTN_SOUTH,0,10:20:32.262417
Key,BTN_SOUTH,1,10:20:32.398610
Key,BTN_SOUTH,0,10:20:32.529455
Key,BTN_SOUTH,1,10:20:32.649541
Key,BTN_SOUTH,0,10:20:32.789444
Key,BTN_SOUTH,1,10:20:32.885486
Key,BTN_SOUTH,0,10:20:33.029455
Key,BTN_SOUTH,1,10:20:33.097299
Key,BTN_SOUTH,0,10:20:33.209452
Key,BTN_SOUTH,1,10:20:33.266536
Key,BTN_SOUTH,0,10:20:33.381429
Key,BTN_SOUTH,1,10:20:33.438518
Key,BTN_SOUTH,0,10:20:33.553449
Key,BTN_SOUTH,1,10:20:33.617389
Key,BTN_SOUTH,0,10:20:33.725382
Key,BTN_SOUTH,1,10:20:33.795675
Key,BTN_SOUTH,0,10:20:33.861510
Key,BTN_SOUTH,1,10:20:47.154390
Key,BTN_SOUTH,0,10:20:47.221481
Key,BTN_SOUTH,1,10:20:48.733405
Key,BTN_SOUTH,0,10:20:48.869467
Key,BTN_SOUTH,1,10:21:29.278436
Absolute,JOYSTICK_LEFT,LEFT,10:21:29.293466
Key,BTN_SOUTH,0,10:21:29.397511
Absolute,JOYSTICK_LEFT,NEUTRAL,10:21:29.745539
Key,BTN_EAST,1,10:21:29.900953
Absolute,JOYSTICK_LEFT,RIGHT,10:21:29.925540
Key,BTN_SOUTH,1,10:21:29.970545
Key,BTN_EAST,0,10:21:29.978832
Key,BTN_SOUTH,0,10:21:30.070436
Absolute,JOYSTICK_LEFT,UP_RIGHT,10:21:30.985536
Key,BTN_NORTH,1,10:21:31.461380
Absolute,JOYSTICK_LEFT,UP,10:21:31.509452
Key,BTN_NORTH,0,10:21:31.633569
Absolute,TRIGGER_RIGHT,PUSHED,10:21:32.033528
Absolute,JOYSTICK_LEFT,UP_RIGHT,10:21:32.062530
Absolute,JOYSTICK_LEFT,RIGHT,10:21:32.409490
Absolute,TRIGGER_RIGHT,NEUTRAL,10:21:35.961576
Absolute,JOYSTICK_RIGHT,DOWN,10:21:36.025561
Absolute,JOYSTICK_LEFT,NEUTRAL,10:21:36.033565
Absolute,JOYSTICK_LEFT,DOWN,10:21:36.525546
Absolute,JOYSTICK_RIGHT,NEUTRAL,10:21:36.593549
Absolute,JOYSTICK_LEFT,DOWN_LEFT,10:21:36.865551
Absolute,JOYSTICK_LEFT,LEFT,10:21:36.917552
Absolute,JOYSTICK_LEFT,DOWN_LEFT,10:21:37.093540
Absolute,JOYSTICK_LEFT,DOWN_RIGHT,10:21:37.145561
Absolute,JOYSTICK_LEFT,RIGHT,10:21:37.221559
Absolute,JOYSTICK_LEFT,NEUTRAL,10:21:37.341603
Absolute,JOYSTICK_LEFT,LEFT,10:21:37.413544
Absolute,JOYSTICK_LEFT,DOWN_LEFT,10:21:37.565457
Absolute,JOYSTICK_LEFT,DOWN,10:21:37.697540
Absolute,JOYSTICK_RIGHT,DOWN_LEFT,10:21:37.801416
Absolute,JOYSTICK_LEFT,DOWN_LEFT,10:21:37.821474
Absolute,JOYSTICK_RIGHT,LEFT,10:21:37.885556
Absolute,JOYSTICK_LEFT,LEFT,10:21:37.909500
Absolute,JOYSTICK_RIGHT,UP_LEFT,10:21:37.973531
Absolute,JOYSTICK_RIGHT,NEUTRAL,10:21:38.117422
Absolute,JOYSTICK_LEFT,DOWN_LEFT,10:21:38.229602
Absolute,JOYSTICK_LEFT,DOWN,10:21:38.277556
Absolute,TRIGGER_RIGHT,PUSHED,10:21:38.345616
Absolute,JOYSTICK_LEFT,DOWN_RIGHT,10:21:38.493560
Absolute,TRIGGER_RIGHT,NEUTRAL,10:21:38.493560
Absolute,JOYSTICK_LEFT,LEFT,10:21:38.817541
Absolute,JOYSTICK_LEFT,DOWN_LEFT,10:21:39.129609
Key,BTN_SOUTH,1,10:21:39.133542
Absolute,JOYSTICK_LEFT,DOWN,10:21:39.209556
Key,BTN_SOUTH,0,10:21:39.213456
Absolute,JOYSTICK_LEFT,DOWN_LEFT,10:21:39.349546
Absolute,TRIGGER_RIGHT,PUSHED,10:21:39.477557
Absolute,JOYSTICK_LEFT,DOWN,10:21:39.833566
Absolute,TRIGGER_RIGHT,NEUTRAL,10:21:40.033414
Key,BTN_SOUTH,1,10:21:40.253545
Key,BTN_SOUTH,0,10:21:40.361550
Absolute,JOYSTICK_LEFT,DOWN_RIGHT,10:21:40.549900
Absolute,JOYSTICK_LEFT,RIGHT,10:21:40.613476
Absolute,JOYSTICK_LEFT,NEUTRAL,10:21:40.693545
Key,BTN_EAST,1,10:21:40.818376
Key,BTN_SOUTH,1,10:21:40.888964
Key,BTN_EAST,0,10:21:40.893545
Key,BTN_SOUTH,0,10:21:41.009428
Absolute,JOYSTICK_LEFT,RIGHT,10:21:41.297559
Key,BTN_SOUTH,1,10:21:41.305564
Key,BTN_SOUTH,0,10:21:41.409549
Absolute,JOYSTICK_LEFT,DOWN_RIGHT,10:21:41.797546
Key,BTN_TL,1,10:21:41.813549
Key,BTN_TL,0,10:21:41.905554
Absolute,JOYSTICK_LEFT,DOWN,10:21:41.913529
Absolute,JOYSTICK_RIGHT,DOWN,10:21:42.461548
Absolute,JOYSTICK_RIGHT,DOWN_RIGHT,10:21:42.537562
Absolute,JOYSTICK_RIGHT,RIGHT,10:21:42.569558
Absolute,JOYSTICK_RIGHT,UP_RIGHT,10:21:42.665420
Absolute,JOYSTICK_RIGHT,NEUTRAL,10:21:42.685548
Absolute,JOYSTICK_LEFT,DOWN_RIGHT,10:21:42.692160
Absolute,TRIGGER_RIGHT,PUSHED,10:21:42.749467
Absolute,JOYSTICK_LEFT,RIGHT,10:21:43.233560
Key,BTN_EAST,1,10:21:43.269557
Key,BTN_SOUTH,1,10:21:43.337544
Key,BTN_EAST,0,10:21:43.341549
Key,BTN_SOUTH,0,10:21:43.425556
Absolute,TRIGGER_LEFT,PUSHED,10:21:43.853571
Absolute,JOYSTICK_LEFT,UP_RIGHT,10:21:43.869557
Absolute,JOYSTICK_LEFT,RIGHT,10:21:43.985454
Absolute,TRIGGER_LEFT,NEUTRAL,10:21:44.313549
Absolute,TRIGGER_RIGHT,NEUTRAL,10:21:44.754584
Absolute,JOYSTICK_LEFT,NEUTRAL,10:21:44.889555
Absolute,JOYSTICK_LEFT,LEFT,10:21:44.969563
Key,BTN_TR,1,10:21:44.993413
Key,BTN_TL,1,10:21:45.117398
Key,BTN_TL,0,10:21:45.165570
Key,BTN_TR,0,10:21:45.221540
Key,BTN_SOUTH,1,10:21:45.261567
Absolute,JOYSTICK_LEFT,UP_LEFT,10:21:45.265552
Absolute,JOYSTICK_LEFT,UP,10:21:45.313549
Key,BTN_SOUTH,0,10:21:45.357549
Absolute,JOYSTICK_LEFT,UP_RIGHT,10:21:45.785557
Absolute,JOYSTICK_LEFT,RIGHT,10:21:46.049435
Absolute,JOYSTICK_LEFT,NEUTRAL,10:21:46.445535
Key,BTN_SOUTH,1,10:21:46.489591
Key,BTN_SOUTH,0,10:21:46.561562
Absolute,JOYSTICK_LEFT,DOWN_RIGHT,10:21:47.157414
Absolute,TRIGGER_RIGHT,PUSHED,10:21:47.161557
Absolute,JOYSTICK_LEFT,DOWN,10:21:48.298584
Key,BTN_TR,1,10:21:49.193559
Absolute,TRIGGER_LEFT,PUSHED,10:21:49.205570
Absolute,JOYSTICK_LEFT,DOWN_LEFT,10:21:49.861576
Absolute,JOYSTICK_LEFT,DOWN,10:21:50.109594
Absolute,JOYSTICK_RIGHT,LEFT,10:21:50.121569
Absolute,JOYSTICK_LEFT,DOWN_RIGHT,10:21:50.257559
Absolute,JOYSTICK_RIGHT,NEUTRAL,10:21:50.257559
Absolute,JOYSTICK_LEFT,RIGHT,10:21:50.513502
Absolute,JOYSTICK_LEFT,UP_RIGHT,10:21:50.717574
Absolute,JOYSTICK_LEFT,UP,10:21:50.981557
Key,BTN_TR,0,10:21:51.429573
Absolute,JOYSTICK_LEFT,UP_LEFT,10:21:51.489558
Absolute,JOYSTICK_LEFT,LEFT,10:21:51.509476
Absolute,JOYSTICK_LEFT,DOWN_LEFT,10:21:51.549560
Absolute,JOYSTICK_RIGHT,UP,10:21:51.549560
Absolute,JOYSTICK_RIGHT,NEUTRAL,10:21:51.653687
Absolute,JOYSTICK_LEFT,DOWN,10:21:51.709587
Absolute,JOYSTICK_LEFT,DOWN_RIGHT,10:21:52.309564
Absolute,JOYSTICK_RIGHT,DOWN,10:21:52.333588
Absolute,JOYSTICK_RIGHT,NEUTRAL,10:21:52.413572
Key,BTN_TR,1,10:21:52.449576
Absolute,JOYSTICK_LEFT,RIGHT,10:21:52.649569
